Title,Author,PDF URL
CPM-Nets- Cross Partial Multi-View Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/11b9842e0a271ff252c1903e7132cd68-Abstract.html
Low-Complexity Nonparametric Bayesian Online Prediction with Universal Guarantees,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/122e27d57ae8ecb37f3f1da67abb33cb-Abstract.html
Finding the Needle in the Haystack with Convolutions- on the benefits of architectural bias,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/124c3e4ada4a529aa0fedece80bb42ab-Abstract.html
Efficiently avoiding saddle points with zero order methods- No gradients required,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/125b93c9b50703fe9dac43ec231f5f83-Abstract.html
Learning metrics for persistence-based summaries and applications for graph classification,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/12780ea688a71dabc284b064add459a4-Abstract.html
PasteGAN- A Semi-Parametric Method to Generate Image from Scene Graph,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/12b1e42dc0746f22cf361267de07073f-Abstract.html
Learning Local Search Heuristics for Boolean Satisfiability,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/12e59a33dea1bf0630f46edfe13d6ea2-Abstract.html
Learning to Perform Local Rewriting for Combinatorial Optimization,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/131f383b434fdf48079bff1e44e2d9a5-Abstract.html
A Unified Bellman Optimality Principle Combining Reward Maximization and Empowerment,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/13384ffc9d8bdb21c53c6f72d46f7866-Abstract.html
Learning Representations for Time Series Clustering,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1359aa933b48b754a2f54adb688bfa77-Abstract.html
Statistical-Computational Tradeoff in Single Index Models,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/13d4635deccc230c944e4ff6e03404b5-Abstract.html
Probabilistic Logic Neural Networks for Reasoning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/13e5ebb0fa112fe1b31a1067962d74a7-Abstract.html
Joint-task Self-supervised Learning for Temporal Correspondence,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/140f6969d5213fd0ece03148e62e461e-Abstract.html
Learning Sparse Distributions using Iterative Hard Thresholding,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/14678db82874f1456031fcc05a3afaf6-Abstract.html
On Distributed Averaging for Stochastic k-PCA,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/148148d62be67e0916a833931bd32b26-Abstract.html
Learning dynamic polynomial proofs,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/149815eb972b3c370dee3b89d645ae14-Abstract.html
Efficient Communication in Multi-Agent Reinforcement Learning via Variance Based Control,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/14cfdb59b5bda1fc245aadae15b1984a-Abstract.html
Global Convergence of Gradient Descent for Deep Linear Residual Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/14da15db887a4b50efe5c1bc66537089-Abstract.html
Dying Experts- Efficient Algorithms with Optimal Regret Bounds,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/151de84cca69258b17375e2f44239191-Abstract.html
A Bayesian Theory of Conformity in Collective Decision Making,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/15212f24321aa2c3dc8e9acf820f3c15-Abstract.html
Poisson-Randomized Gamma Dynamical Systems,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1543843a4723ed2ab08e18053ae6dc5b-Abstract.html
Bayesian Layers- A Module for Neural Network Uncertainty,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/154ff8944e6eac05d0675c95b5b8889d-Abstract.html
Sequence Modeling with Unconstrained Generation Order,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1558417b096b5d8e7cbe0183ea9cbf26-Abstract.html
Online Continual Learning with Maximal Interfered Retrieval,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/15825aee15eb335cc13f9b559f166ee8-Abstract.html
Visualizing and Measuring the Geometry of BERT,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/159c1ffe5b61b41b3c4d8f4c2150f6c4-Abstract.html
Learning to Predict Without Looking Ahead- World Models Without Forward Prediction,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/15cf76466b97264765356fcc56d801d1-Abstract.html
Deep Generalized Method of Moments for Instrumental Variable Analysis,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/15d185eaa7c954e77f5343d941e25fbd-Abstract.html
Copulas as High-Dimensional Generative Models- Vine Copula Autoencoders,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/15e122e839dfdaa7ce969536f94aecf6-Abstract.html
Implicit Semantic Data Augmentation for Deep Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/15f99f2165aa8c86c9dface16fefd281-Abstract.html
q-means- A quantum algorithm for unsupervised machine learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/16026d60ff9b54410b3435b403afd226-Abstract.html
RUDDER- Return Decomposition for Delayed Rewards,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/16105fb9cc614fc29e1bda00dab60d41-Abstract.html
Learning-Based Low-Rank Approximations,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1625abb8e458a79765c62009235e9d5b-Abstract.html
Convergence Guarantees for Adaptive Bayesian Quadrature Methods,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/165a59f7cf3b5c4396ba65953d679f17-Abstract.html
A First-Order Algorithmic Framework for Distributionally Robust Logistic Regression,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/169779d3852b32ce8b1a1724dbf5217d-Abstract.html
Theoretical Analysis of Adversarial Learning- A Minimax Approach,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/16bda725ae44af3bb9316f416bd13b1b-Abstract.html
Compositional De-Attention Networks,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/16fc18d787294ad5171100e33d05d4e2-Abstract.html
Robust Attribution Regularization,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/172ef5a94b4dd0aa120c6878fc29f70c-Abstract.html
Semantic-Guided Multi-Attention Localization for Zero-Shot Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/172fd0d638b3282151bd8f3d652cb640-Abstract.html
Distributionally Robust Optimization and Generalization in Kernel Methods,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1770ae9e1b6bc9f5fd2841f141557ffb-Abstract.html
Kernel Instrumental Variable Regression,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/17b3c7061788dbe82de5abe9f6fe22b3-Abstract.html
Metalearned Neural Memory,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/182bd81ea25270b7d1c2fe8353d17fe6-Abstract.html
Learning Bayesian Networks with Low Rank Conditional Probability Tables,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/187acf7982f3c169b3075132380986e4-Abstract.html
Large Scale Adversarial Representation Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/18cdf49ea54eec029238fcc95f76ce41-Abstract.html
Hindsight Credit Assignment,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/195f15384c2a79cedf293e4a847ce85c-Abstract.html
Zero-shot Learning via Simultaneous Generating and Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/19ca14e7ea6328a42e0eb13d585e4c22-Abstract.html
Direct Optimization through $-arg -max$ for Discrete Variational Auto-Encoder,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1a04f965818a8533f5613003c7db243d-Abstract.html
Generalization Error Analysis of Quantized Compressive Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1a638db8311430c6c018bf21e1a0b7fb-Abstract.html
Successor Uncertainties- Exploration and Uncertainty in Temporal Difference Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1b113258af3968aaf3969ca67e744ff8-Abstract.html
Trivializations for Gradient-Based Optimization on Manifolds,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1b33d16fc562464579b7199ca3114982-Abstract.html
On the Fairness of Disentangled Representations,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1b486d7a5189ebe8d8c46afc64b0d1b4-Abstract.html
When to use parametric models in reinforcement learning-,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1b742ae215adf18b75449c6e272fd92d-Abstract.html
Ouroboros- On Accelerating Training of Transformer-Based Language Models,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1b79b52d1bf6f71b2b1eb7ca08ed0776-Abstract.html
MonoForest framework for tree ensemble analysis,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1b9a80606d74d3da6db2f1274557e644-Abstract.html
Correlation Priors for Reinforcement Learning,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1bd2caf96a17d892c2c7e9959549cfc7-Abstract.html
Push-pull Feedback Implements Hierarchical Information Retrieval Efficiently,Unknown Author,https://papers.nips.cc/paper_files/paper/2019/hash/1bd4b29a8e0afccd9923fe29cecb4b29-Abstract.html
